codigo_cliente;nome_cliente;codigo_cnpj_cliente;endereco_email_cliente;numero_telefone_cliente;data_cadastro_cliente
1;Dias Mendonça e Filhos;81.942.567/0001-89;da-rochaisabella@da.com;(081) 1032-4299;2023-06-04
2;Novaes Abreu S/A;08.241.796/0001-86;tmartins@fonseca.br;+55 (084) 6764 7348;2023-12-13
3;Melo;70.923.645/0001-81;da-rosaeloa@marques.net;61 1459-9682;2022-02-17
4;Farias S/A;42.639.510/0001-53;bmartins@silveira.br;31 4009 9776;2020-12-24
5;Aparecida Aparecida - ME;26.791.408/0001-12;icavalcanti@abreu.br;61 9830-9201;2020-09-07
6;da Conceição Cardoso Ltda.;05.712.684/0001-78;saleshadassa@oliveira.net;84 8063 4853;2020-02-15
7;Moura Abreu - EI;53.061.742/0001-93;igor61@da.com;51 8698 0878;2020-06-25
8;Marques;41.076.593/0001-57;rioslucca@cavalcante.com;71 2530-5620;2024-07-03
9;Fonseca;73.159.064/0001-03;daniel02@novaes.org;41 0587 0702;2024-01-09
10;da Mota;51.864.230/0001-30;hsilveira@leao.org;+55 (021) 9590 0337;2021-07-08
11;Peixoto;51.376.248/0001-92;almeidabernardo@campos.com;84 5177-4963;2021-02-08
12;Moraes Vieira - ME;75.013.842/0001-87;breno55@goncalves.com;(041) 8582 6550;2021-10-13
13;Aragão Freitas S.A.;52.841.763/0001-69;mbarros@fogaca.net;+55 (041) 9499 0071;2020-01-17
14;Castro e Filhos;93.756.018/0001-07;eloaaragao@fernandes.br;41 2790 7709;2022-07-07
15;Silva;10.683.249/0001-00;rodrigocampos@lima.org;+55 (084) 4000-0687;2021-12-23
16;Cavalcanti Ltda.;07.546.893/0001-14;josue43@aragao.org;0800 874 3786;2021-04-24
17;Fogaça S/A;60.591.827/0001-49;franciscocirino@farias.br;0500 742 5279;2023-03-16
18;Farias S.A.;53.410.728/0001-58;camargoleonardo@gomes.br;0900-975-4802;2020-04-05
19;Martins Moreira - ME;70.614.235/0001-59;ribeirolara@alves.br;(011) 7385-4920;2022-05-18
20;Martins S/A;45.837.916/0001-39;lizazevedo@carvalho.com;21 7190-2982;2021-10-27
21;Jesus;72.645.013/0001-29;ncavalcante@alves.net;+55 (011) 4711-6686;2021-08-26
22;Vargas Teixeira S.A.;15.286.904/0001-00;rochaanthony@vasconcelos.org;61 3649 2250;2023-01-08
23;Duarte;68.724.350/0001-34;davi-luizpacheco@rodrigues.br;+55 51 9707 1524;2023-04-01
24;Macedo;56.802.439/0001-92;mcastro@pimenta.br;+55 51 8210 9467;2020-01-04
25;Fernandes;97.356.048/0001-79;meloevelyn@almeida.com;+55 (081) 1635-9569;2022-09-27
